Bad, watts
15492, 13865
7184, 20602
12304, 31888
10725, 32756
18971, 22220
2791, 2502
624, 17223
13, 28607
30158, 12357
30899, 27886
22863, 26473
25286, 16014
911, 14233
32553, 29806
9819, 1231
13069, 19130
19714, 22027
7668, 19569
27946, 18055
16731, 18265

26953, 13210
2007, 22062
19482, 6495
23021, 23741
9594, 28073
1216, 32505
22431, 14071
17441, 5520
10138, 16824
4575, 3266
13824, 30102
31989, 17686
26152, 31336
10273, 10747
10300, 19188
24758, 24541
12338, 2088
18352, 5908
26926, 1280
31380, 25085
30021, 16270
10758, 31193
3769, 23742
17660, 23623
18637, 14315
29222, 11769
6895, 24587
19520, 24485
21213, 10811
6357, 9760
11771, 1657
5004, 13406
19160, 16793
13702, 7376
23629, 2777
19054, 31226
30519, 11813
24050, 18910
108, 27931
10744, 32098
32178, 25986
26648, 27144
10181, 12175
13547, 8976
1125, 18955
15271, 12372
271, 12909
25087, 16146
18926, 12603
23433, 621
3278, 19769
20303, 33
25827, 20051
5817, 6516
3086, 23464
20707, 16246
1012, 32478
9837, 11150
25764, 18588
17829, 21339
13654, 18099
15080, 9533
18602, 18979
28319, 20204
8766, 6226
12667, 16480
17105, 5018
20027, 2290
20549, 25618
